0	1	-133.057
1	2	-118.875
2	3	-127.101
3	4	-118.828
4	5	-99.0915
5	6	-106.598
6	7	-84.1412
7	8	-71.9345
8	9	-52.2055
9	10	-42.5002
10	11	-48.9939
11	12	-37.1865
12	13	-36.6342
13	14	-31.9943
14	15	-25.2704
15	16	-25.2547
16	17	-21.8683
17	18	0.713888
18	19	-12.2957
19	20	15.3672
20	21	34.2476
21	22	-5.34921
22	23	-6.24778
23	24	0
24	25	0
25	26	0
26	27	-3.6857
27	28	-7.17263
28	29	21.0063
29	30	10.1841
30	31	18.3147
31	32	18.3147
32	33	104.17
33	34	125.081
34	35	108.37
35	36	146.951
36	37	119.946
37	38	142.884
38	39	157.752
